[2024-10-29T18:16:43.173576+00:00] game_logger.INFO: New game initialized {"player1":"samuel","player2":"maquina"} []
[2024-10-29T18:16:47.204959+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:16:47.209760+00:00] game_logger.INFO: Game ended [] []
[2024-10-29T18:16:51.154886+00:00] game_logger.INFO: New game initialized {"player1":"samuel","player2":"maquina"} []
[2024-10-29T18:16:52.910102+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:16:52.918580+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":1} []
[2024-10-29T18:16:55.308929+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:16:55.314867+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:17:16.400592+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:17:16.407494+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":4} []
[2024-10-29T18:17:17.108026+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:17:17.119731+00:00] game_logger.INFO: Player made a move {"player":"maquina","column":5} []
[2024-10-29T18:20:30.295372+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:30.301667+00:00] game_logger.INFO: Game reset by the player [] []
[2024-10-29T18:20:32.038437+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:32.041899+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":1} []
[2024-10-29T18:20:32.608167+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:32.611782+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":1} []
[2024-10-29T18:20:33.077264+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:33.082779+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":1} []
[2024-10-29T18:20:33.591117+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:33.598790+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":1} []
[2024-10-29T18:20:35.220306+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:35.223870+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":3} []
[2024-10-29T18:20:36.155057+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:36.163199+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":3} []
[2024-10-29T18:20:39.379255+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:39.386663+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:20:39.914302+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:39.919461+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:20:40.537840+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:40.545862+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:20:41.875832+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:41.883796+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:20:42.985525+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:42.988623+00:00] game_logger.INFO: Player made a move {"player":"maquina","column":2} []
[2024-10-29T18:20:56.447883+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:56.451968+00:00] game_logger.INFO: Game reset by the player [] []
[2024-10-29T18:20:58.198627+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:58.201147+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:20:58.952817+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:58.960210+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:20:59.683121+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:20:59.686872+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":2} []
[2024-10-29T18:21:01.017364+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:01.022213+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":3} []
[2024-10-29T18:21:02.963237+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:02.970761+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":4} []
[2024-10-29T18:21:03.595069+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:03.602440+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":4} []
[2024-10-29T18:21:05.035490+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:05.039984+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":4} []
[2024-10-29T18:21:08.936003+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:08.941303+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":5} []
[2024-10-29T18:21:10.115644+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:10.121076+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":6} []
[2024-10-29T18:21:12.248516+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:12.253012+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":6} []
[2024-10-29T18:21:14.023280+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:14.032795+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":7} []
[2024-10-29T18:21:15.605967+00:00] game_logger.INFO: Game restored from session [] []
[2024-10-29T18:21:15.613227+00:00] game_logger.INFO: Player made a move {"player":"samuel","column":5} []
